word,attribution,company_id
<s>,0.0,Company_B
Hello,-0.031195146963000298,Company_B
",",-0.08704597502946854,Company_B
Thank,-0.05732748284935951,Company_B
you,0.13850349187850952,Company_B
for,-0.0726025328040123,Company_B
your,0.027269668877124786,Company_B
interest,0.11742706596851349,Company_B
in,0.08995941281318665,Company_B
joining,0.076462022960186,Company_B
the,-0.022108836099505424,Company_B
[,0.03266090527176857,Company_B
Company,0.052131470292806625,Company_B
_,0.01079041138291359,Company_B
B,-0.04419209435582161,Company_B
],0.00804060883820057,Company_B
team,0.007020058110356331,Company_B
.,-0.11440659314393997,Company_B
We,-0.08805475383996964,Company_B
reviewed,0.022992338985204697,Company_B
your,-0.02323254384100437,Company_B
application,-0.026995182037353516,Company_B
",",0.015254135243594646,Company_B
and,-0.07371608912944794,Company_B
unfortunately,-0.3758047819137573,Company_B
",",-0.03701352700591087,Company_B
we,-0.09622565656900406,Company_B
decided,-0.05905045196413994,Company_B
not,-0.13488547503948212,Company_B
to,-0.12368065118789673,Company_B
proceed,-0.3505025804042816,Company_B
.,-0.05670573562383652,Company_B
Short,0.05318679288029671,Company_B
list,0.04806652292609215,Company_B
ing,-0.049752503633499146,Company_B
the,0.08518601208925247,Company_B
best,0.09773073345422745,Company_B
candidates,0.10830047726631165,Company_B
is,-0.04982241243124008,Company_B
hard,-0.04053633660078049,Company_B
.,-0.025272993370890617,Company_B
Although,0.07570739090442657,Company_B
your,0.07964447140693665,Company_B
resume,0.07335685938596725,Company_B
is,-0.027489006519317627,Company_B
competitive,0.0795745849609375,Company_B
",",0.051134299486875534,Company_B
I,0.03536325693130493,Company_B
had,-0.016833879053592682,Company_B
to,-0.04863187298178673,Company_B
choose,-0.04175783693790436,Company_B
amongst,0.33959344029426575,Company_B
a,-0.007531683426350355,Company_B
lot,0.027298787608742714,Company_B
of,0.08760342001914978,Company_B
great,0.5104658603668213,Company_B
candidates,0.1557900607585907,Company_B
for,-0.029013730585575104,Company_B
the,0.08885202556848526,Company_B
job,0.0808895155787468,Company_B
:,0.051638249307870865,Company_B
sorry,-0.08483171463012695,Company_B
!,-0.04827803745865822,Company_B
(,-0.0027281867805868387,Company_B
Keep,-0.043743014335632324,Company_B
in,0.05805795639753342,Company_B
mind,0.034888096153736115,Company_B
that,0.06858249753713608,Company_B
I,-0.01162690483033657,Company_B
can,0.00775242829695344,Company_B
make,-0.007407636847347021,Company_B
mistakes,-0.010398034937679768,Company_B
:,0.03782141953706741,Company_B
),0.005966051481664181,Company_B
),-0.07893920689821243,Company_B
If,0.03624018654227257,Company_B
it,-0.016905151307582855,Company_B
might,0.018977852538228035,Company_B
help,0.05435365438461304,Company_B
you,0.02453782968223095,Company_B
for,0.035682350397109985,Company_B
future,0.0195123553276062,Company_B
applications,0.015598568134009838,Company_B
",",0.05010576546192169,Company_B
here,0.011845077387988567,Company_B
is,0.025095108896493912,Company_B
what,0.006876990664750338,Company_B
recruit,0.015100475400686264,Company_B
ers,0.015227686613798141,Company_B
like,0.02269229106605053,Company_B
to,0.015329407528042793,Company_B
see,0.04518325626850128,Company_B
in,0.03486499562859535,Company_B
resumes,0.01648319512605667,Company_B
:,0.030787372961640358,Company_B
Beaut,0.07245022803544998,Company_B
ifully,0.05868389829993248,Company_B
designed,0.054325517266988754,Company_B
",",0.012586924247443676,Company_B
Res,0.016372350975871086,Company_B
ume,-0.009368724189698696,Company_B
adapted,0.014654592610895634,Company_B
to,0.0013211907353252172,Company_B
the,-0.003607716178521514,Company_B
job,-0.0013259006664156914,Company_B
position,0.010521951131522655,Company_B
(,-0.0025078130420297384,Company_B
as,-0.007211126387119293,Company_B
it,0.02220102585852146,Company_B
shows,0.02517741732299328,Company_B
your,0.02250085584819317,Company_B
motivation,0.039403147995471954,Company_B
),0.03177226334810257,Company_B
",",0.022124122828245163,Company_B
i,-0.0026798329781740904,Company_B
.,0.009747125208377838,Company_B
e,0.005778002552688122,Company_B
.,-0.007869619876146317,Company_B
:,0.010439038276672363,Company_B
Catch,0.004907721187919378,Company_B
phrase,0.013258096762001514,Company_B
adapted,0.015953384339809418,Company_B
to,-0.003404058516025543,Company_B
company,0.006297089625149965,Company_B
",",0.015994839370250702,Company_B
High,0.008488149382174015,Company_B
light,0.011255156248807907,Company_B
(,0.0020516884978860617,Company_B
or,0.0037036724388599396,Company_B
set,-0.005290275905281305,Company_B
bold,0.0003585183003451675,Company_B
),0.0117340674623847,Company_B
what,0.011652762070298195,Company_B
matters,0.01768752746284008,Company_B
for,-0.007036675699055195,Company_B
the,0.007412553299218416,Company_B
job,-0.0010435297153890133,Company_B
position,0.016020962968468666,Company_B
",",0.009662814438343048,Company_B
Key,0.018309976905584335,Company_B
elements,-0.019853057339787483,Company_B
we,-0.026256006211042404,Company_B
need,-0.005864288192242384,Company_B
to,-0.022131552919745445,Company_B
qualify,0.01401480007916689,Company_B
easily,-0.014643371105194092,Company_B
visible,-0.006449954118579626,Company_B
:,0.004047483205795288,Company_B
your,0.007087755482643843,Company_B
city,-0.021985312923789024,Company_B
",",0.005432496778666973,Company_B
languages,0.020833438262343407,Company_B
",",0.013562250882387161,Company_B
phone,0.012186471372842789,Company_B
",",0.011326313950121403,Company_B
email,0.005001401528716087,Company_B
",",5.307407263899222e-06,Company_B
etc,-0.005924542434513569,Company_B
.,0.007994581013917923,Company_B
No,-0.023152297362685204,Company_B
need,0.0016489076660946012,Company_B
to,-0.0019619339145720005,Company_B
write,0.020184634253382683,Company_B
a,-0.014457020908594131,Company_B
lot,0.014625770039856434,Company_B
