,vader_compound,textblob_polarity,afinn_score,hf_roberta_score,hf_sst2_score
vader_compound,1.0,0.6826874200670875,0.587011223520205,0.39560786372634843,0.4909638877909428
textblob_polarity,0.6826874200670875,1.0,0.5316538572628995,0.07078334082878632,0.1474312169666748
afinn_score,0.587011223520205,0.5316538572628995,1.0,0.3937703228314469,0.31391441338480447
hf_roberta_score,0.39560786372634843,0.07078334082878632,0.3937703228314469,1.0,0.5147867205993543
hf_sst2_score,0.4909638877909428,0.1474312169666748,0.31391441338480447,0.5147867205993543,1.0
