company,word,attribution,direction,vader_score,roberta_score
Company_B,great,0.5104658603668213,positive,0.9878,0.1702462434768676
Company_B,amongst,0.33959344029426575,positive,0.9878,0.1702462434768676
Company_B,interest,0.11742706596851349,positive,0.9878,0.1702462434768676
Company_B,candidates,0.10830047726631165,positive,0.9878,0.1702462434768676
Company_B,best,0.09773073345422745,positive,0.9878,0.1702462434768676
Company_B,competitive,0.0795745849609375,positive,0.9878,0.1702462434768676
Company_B,joining,0.076462022960186,positive,0.9878,0.1702462434768676
Company_B,resume,0.07335685938596725,positive,0.9878,0.1702462434768676
Company_B,Beaut,0.07245022803544998,positive,0.9878,0.1702462434768676
Company_B,luck,0.06951860338449478,positive,0.9878,0.1702462434768676
Company_B,Good,0.06049470603466034,positive,0.9878,0.1702462434768676
Company_B,ifully,0.05868389829993248,positive,0.9878,0.1702462434768676
Company_B,help,0.05435365438461304,positive,0.9878,0.1702462434768676
Company_B,designed,0.054325517266988754,positive,0.9878,0.1702462434768676
Company_B,Short,0.05318679288029671,positive,0.9878,0.1702462434768676
Company_B,list,0.04806652292609215,positive,0.9878,0.1702462434768676
Company_B,see,0.04518325626850128,positive,0.9878,0.1702462434768676
Company_B,motivation,0.039403147995471954,positive,0.9878,0.1702462434768676
Company_B,mind,0.034888096153736115,positive,0.9878,0.1702462434768676
Company_B,lot,0.027298787608742714,positive,0.9878,0.1702462434768676
Company_B,imagine,0.026387272402644157,positive,0.9878,0.1702462434768676
Company_B,shows,0.02517741732299328,positive,0.9878,0.1702462434768676
Company_B,dream,0.025076517835259438,positive,0.9878,0.1702462434768676
Company_B,better,0.02371850423514843,positive,0.9878,0.1702462434768676
Company_B,reviewed,0.022992338985204697,positive,0.9878,0.1702462434768676
Company_B,like,0.02269229106605053,positive,0.9878,0.1702462434768676
Company_B,languages,0.020833438262343407,positive,0.9878,0.1702462434768676
Company_B,write,0.020184634253382683,positive,0.9878,0.1702462434768676
Company_B,future,0.0195123553276062,positive,0.9878,0.1702462434768676
Company_B,Key,0.018309976905584335,positive,0.9878,0.1702462434768676
Company_B,matters,0.01768752746284008,positive,0.9878,0.1702462434768676
Company_B,resumes,0.01648319512605667,positive,0.9878,0.1702462434768676
Company_B,Res,0.016372350975871086,positive,0.9878,0.1702462434768676
Company_B,applications,0.015598568134009838,positive,0.9878,0.1702462434768676
Company_B,ers,0.015227686613798141,positive,0.9878,0.1702462434768676
Company_B,recruit,0.015100475400686264,positive,0.9878,0.1702462434768676
Company_B,check,0.014745810069143772,positive,0.9878,0.1702462434768676
Company_B,adapted,0.014654592610895634,positive,0.9878,0.1702462434768676
Company_B,qualify,0.01401480007916689,positive,0.9878,0.1702462434768676
Company_B,phrase,0.013258096762001514,positive,0.9878,0.1702462434768676
Company_B,phone,0.012186471372842789,positive,0.9878,0.1702462434768676
Company_B,often,0.011788493022322655,positive,0.9878,0.1702462434768676
Company_B,light,0.011255156248807907,positive,0.9878,0.1702462434768676
Company_B,High,0.008488149382174015,positive,0.9878,0.1702462434768676
Company_B,what,0.006876990664750338,positive,0.9878,0.1702462434768676
Company_B,Catch,0.004907721187919378,positive,0.9878,0.1702462434768676
Company_B,hundreds,0.0035813204012811184,positive,0.9878,0.1702462434768676
Company_B,bold,0.0003585183003451675,positive,0.9878,0.1702462434768676
Company_B,finding,-0.0003781314881052822,negative,0.9878,0.1702462434768676
Company_B,set,-0.005290275905281305,negative,0.9878,0.1702462434768676
Company_B,need,-0.005864288192242384,negative,0.9878,0.1702462434768676
Company_B,etc,-0.005924542434513569,negative,0.9878,0.1702462434768676
Company_B,visible,-0.006449954118579626,negative,0.9878,0.1702462434768676
Company_B,ume,-0.009368724189698696,negative,0.9878,0.1702462434768676
Company_B,mistakes,-0.010398034937679768,negative,0.9878,0.1702462434768676
Company_B,easily,-0.014643371105194092,negative,0.9878,0.1702462434768676
Company_B,elements,-0.019853057339787483,negative,0.9878,0.1702462434768676
Company_B,city,-0.021985312923789024,negative,0.9878,0.1702462434768676
Company_B,No,-0.023152297362685204,negative,0.9878,0.1702462434768676
Company_B,Hello,-0.031195146963000298,negative,0.9878,0.1702462434768676
Company_B,hard,-0.04053633660078049,negative,0.9878,0.1702462434768676
Company_B,choose,-0.04175783693790436,negative,0.9878,0.1702462434768676
Company_B,Thank,-0.05732748284935951,negative,0.9878,0.1702462434768676
Company_B,decided,-0.05905045196413994,negative,0.9878,0.1702462434768676
Company_B,sorry,-0.08483171463012695,negative,0.9878,0.1702462434768676
Company_B,not,-0.13488547503948212,negative,0.9878,0.1702462434768676
Company_B,proceed,-0.3505025804042816,negative,0.9878,0.1702462434768676
Company_B,unfortunately,-0.3758047819137573,negative,0.9878,0.1702462434768676
Company_A,appreciate,0.5402359962463379,positive,0.9894,0.8253324627876282
Company_A,grateful,0.4532812833786011,positive,0.9894,0.8253324627876282
Company_A,Thank,0.22956693172454834,positive,0.9894,0.8253324627876282
Company_A,effort,0.1813066005706787,positive,0.9894,0.8253324627876282
Company_A,interest,0.16698886454105377,positive,0.9894,0.8253324627876282
Company_A,joining,0.12194176018238068,positive,0.9894,0.8253324627876282
Company_A,impressed,0.06661444902420044,positive,0.9894,0.8253324627876282
Company_A,appreciation,0.060723498463630676,positive,0.9894,0.8253324627876282
Company_A,applying,0.05346931889653206,positive,0.9894,0.8253324627876282
Company_A,Please,0.050366949290037155,positive,0.9894,0.8253324627876282
Company_A,assured,0.04982193186879158,positive,0.9894,0.8253324627876282
Company_A,align,0.049026958644390106,positive,0.9894,0.8253324627876282
