company,word,attribution,direction,vader_score,roberta_score
Company_A,appreciate,0.5402359962463379,positive,0.9894,0.8253324627876282
Company_A,grateful,0.4532812833786011,positive,0.9894,0.8253324627876282
Company_A,Thank,0.22956693172454834,positive,0.9894,0.8253324627876282
Company_A,effort,0.1813066005706787,positive,0.9894,0.8253324627876282
Company_A,interest,0.16698886454105377,positive,0.9894,0.8253324627876282
Company_A,joining,0.12194176018238068,positive,0.9894,0.8253324627876282
Company_A,impressed,0.06661444902420044,positive,0.9894,0.8253324627876282
Company_A,appreciation,0.060723498463630676,positive,0.9894,0.8253324627876282
Company_A,applying,0.05346931889653206,positive,0.9894,0.8253324627876282
Company_A,Please,0.050366949290037155,positive,0.9894,0.8253324627876282
Company_A,assured,0.04982193186879158,positive,0.9894,0.8253324627876282
Company_A,align,0.049026958644390106,positive,0.9894,0.8253324627876282
Company_A,Engineer,0.0428570881485939,positive,0.9894,0.8253324627876282
Company_A,hope,0.04215218126773834,positive,0.9894,0.8253324627876282
Company_A,encourage,0.04007928445935249,positive,0.9894,0.8253324627876282
Company_A,rest,0.03905485197901726,positive,0.9894,0.8253324627876282
Company_A,decided,0.03790545463562012,positive,0.9894,0.8253324627876282
Company_A,put,0.03498075529932976,positive,0.9894,0.8253324627876282
Company_A,move,0.034566622227430344,positive,0.9894,0.8253324627876282
Company_A,experience,0.029277697205543518,positive,0.9894,0.8253324627876282
Company_A,experiences,0.024840066209435463,positive,0.9894,0.8253324627876282
Company_A,Data,0.02280385233461857,positive,0.9894,0.8253324627876282
Company_A,closely,0.02262616716325283,positive,0.9894,0.8253324627876282
Company_A,opportunities,0.0200345441699028,positive,0.9894,0.8253324627876282
Company_A,ahead,0.01936151087284088,positive,0.9894,0.8253324627876282
Company_A,strong,0.018247082829475403,positive,0.9894,0.8253324627876282
Company_A,previous,0.018185872584581375,positive,0.9894,0.8253324627876282
Company_A,future,0.017691345885396004,positive,0.9894,0.8253324627876282
Company_A,ishing,0.01717515103518963,positive,0.9894,0.8253324627876282
Company_A,best,0.015546547248959541,positive,0.9894,0.8253324627876282
Company_A,skills,0.014209276996552944,positive,0.9894,0.8253324627876282
Company_A,paths,0.012978371232748032,positive,0.9894,0.8253324627876282
Company_A,fast,0.01240973174571991,positive,0.9894,0.8253324627876282
Company_A,frequently,0.012112381868064404,positive,0.9894,0.8253324627876282
Company_A,profile,0.012031004764139652,positive,0.9894,0.8253324627876282
Company_A,cross,0.01025520358234644,positive,0.9894,0.8253324627876282
Company_A,whose,0.009648468345403671,positive,0.9894,0.8253324627876282
Company_A,received,0.009643486700952053,positive,0.9894,0.8253324627876282
Company_A,progressing,0.008944325149059296,positive,0.9894,0.8253324627876282
Company_A,candidates,0.008370064198970795,positive,0.9894,0.8253324627876282
Company_A,growing,0.007950994186103344,positive,0.9894,0.8253324627876282
Company_A,open,0.005979782901704311,positive,0.9894,0.8253324627876282
Company_A,today,0.005811352748423815,positive,0.9894,0.8253324627876282
Company_A,further,0.0036576190032064915,positive,0.9894,0.8253324627876282
Company_A,steps,0.0030862276908010244,positive,0.9894,0.8253324627876282
Company_A,Career,0.0027343579567968845,positive,0.9894,0.8253324627876282
Company_A,applications,0.0023750837426632643,positive,0.9894,0.8253324627876282
Company_A,lack,0.001586775528267026,positive,0.9894,0.8253324627876282
Company_A,needs,0.0007551310700364411,positive,0.9894,0.8253324627876282
Company_A,things,-0.0029795272275805473,negative,0.9894,0.8253324627876282
Company_A,current,-0.003908804152160883,negative,0.9894,0.8253324627876282
Company_A,Junior,-0.003962834365665913,negative,0.9894,0.8253324627876282
Company_A,reviewing,-0.005338387563824654,negative,0.9894,0.8253324627876282
Company_A,won,-0.005371842999011278,negative,0.9894,0.8253324627876282
Company_A,reflect,-0.007272586692124605,negative,0.9894,0.8253324627876282
Company_A,eye,-0.00853387638926506,negative,0.9894,0.8253324627876282
Company_A,next,-0.008726063184440136,negative,0.9894,0.8253324627876282
Company_A,new,-0.010373047553002834,negative,0.9894,0.8253324627876282
Company_A,taking,-0.013981525786221027,negative,0.9894,0.8253324627876282
Company_A,forward,-0.01558124739676714,negative,0.9894,0.8253324627876282
Company_A,wasn,-0.016397688537836075,negative,0.9894,0.8253324627876282
Company_A,positions,-0.018122589215636253,negative,0.9894,0.8253324627876282
Company_A,inform,-0.02521255426108837,negative,0.9894,0.8253324627876282
Company_A,easy,-0.03455117717385292,negative,0.9894,0.8253324627876282
Company_A,not,-0.05182727798819542,negative,0.9894,0.8253324627876282
Company_A,moving,-0.051929980516433716,negative,0.9894,0.8253324627876282
Company_A,decision,-0.07976210862398148,negative,0.9894,0.8253324627876282
Company_A,sorry,-0.21970951557159424,negative,0.9894,0.8253324627876282
Company_B,great,0.5104658603668213,positive,0.9878,0.1702462434768676
Company_B,amongst,0.33959344029426575,positive,0.9878,0.1702462434768676
Company_B,interest,0.11742706596851349,positive,0.9878,0.1702462434768676
Company_B,candidates,0.10830047726631165,positive,0.9878,0.1702462434768676
Company_B,best,0.09773073345422745,positive,0.9878,0.1702462434768676
Company_B,competitive,0.0795745849609375,positive,0.9878,0.1702462434768676
Company_B,joining,0.076462022960186,positive,0.9878,0.1702462434768676
Company_B,resume,0.07335685938596725,positive,0.9878,0.1702462434768676
Company_B,Beaut,0.07245022803544998,positive,0.9878,0.1702462434768676
Company_B,luck,0.06951860338449478,positive,0.9878,0.1702462434768676
Company_B,Good,0.06049470603466034,positive,0.9878,0.1702462434768676
Company_B,ifully,0.05868389829993248,positive,0.9878,0.1702462434768676
