company,word,importance,direction
Company_B,sorry!,0.05001246929168701,positive
Company_B,amongst,-0.04740237444639206,negative
Company_B,Thank,-0.04597017914056778,negative
Company_B,Although,0.043676141649484634,positive
Company_B,decided,-0.04030071198940277,negative
Company_B,:)),0.031246274709701538,positive
Company_B,candidates,0.03043358586728573,positive
Company_B,We,0.027257531881332397,positive
Company_B,interest,-0.027223840355873108,negative
Company_B,Beautifully,-0.026643425226211548,negative
Company_B,choose,-0.02506701648235321,negative
Company_B,great,0.02425474300980568,positive
Company_B,joining,0.021345891058444977,positive
Company_B,(imagine,0.019270766526460648,positive
Company_B,team.,0.018227024003863335,positive
Company_B,resumes:,-0.017468612641096115,negative
Company_B,mistakes,-0.0173359252512455,negative
Company_B,reviewed,0.01601918414235115,positive
Company_B,(Keep,-0.014847406186163425,negative
Company_B,"competitive,",-0.01414123922586441,negative
Company_A,After,-0.07274498790502548,negative
Company_A,[Company_A].,-0.04006323590874672,negative
Company_A,application.,-0.039645589888095856,negative
Company_A,future.,-0.03778190165758133,negative
Company_A,Although,-0.02895258367061615,negative
Company_A,grateful,-0.02413250505924225,negative
Company_A,reviewing,0.022925831377506256,positive
Company_A,applying,-0.020496442914009094,negative
Company_A,your,0.019480297341942787,positive
Company_A,your,-0.014595402404665947,negative
Company_A,appreciate,-0.014480994082987309,negative
Company_A,we're,-0.013109220191836357,negative
Company_A,we're,0.011491323821246624,positive
Company_A,encourage,0.011391488835215569,positive
Company_A,time.,-0.01130598969757557,negative
Company_A,for,-0.010278185829520226,negative
Company_A,you,0.009797696955502033,positive
Company_A,While,-0.009043741971254349,negative
Company_A,you,-0.008672622963786125,negative
Company_A,Thank,-0.00838482566177845,negative
Company_F,"[Company_F],",0.010463764891028404,positive
Company_F,effort,-0.006960518192499876,negative
Company_F,value,-0.006833148188889027,negative
Company_F,you've,0.004830014891922474,positive
Company_F,"[Name],",0.004763036035001278,positive
Company_F,[Company_F]!,0.004264086484909058,positive
Company_F,Hi,-0.0037169954739511013,negative
Company_F,were,-0.003610563464462757,negative
Company_F,"applicants,",-0.003431059420108795,negative
Company_F,invested,0.0033846283331513405,positive
Company_F,application,-0.0033096703700721264,negative
Company_F,decided,-0.0032548573799431324,negative
Company_F,your,0.003086675889790058,positive
Company_F,Intern,-0.0030148879159241915,negative
Company_F,Thank,-0.003012267407029867,negative
Company_F,we,-0.002788342535495758,negative
Company_F,carefully,-0.0026194374077022076,negative
Company_F,we,-0.002343133557587862,negative
Company_F,Data,-0.0022072214633226395,negative
Company_F,you,-0.002158261137083173,negative
Company_D,haven't,-0.11015114188194275,negative
Company_D,"[Name],",0.10318206250667572,positive
Company_D,gig.,0.06707142293453217,positive
Company_D,"Unfortunately,",0.06650295853614807,positive
Company_D,apply,0.04860181733965874,positive
Company_D,selected,-0.028314396739006042,negative
Company_D,"sorry,",0.024137424305081367,positive
Company_D,hiring,0.023441355675458908,positive
Company_D,has,0.022466162219643593,positive
Company_D,another,-0.020638560876250267,negative
Company_D,for,-0.02062271535396576,negative
Company_D,is,0.02051481232047081,positive
Company_D,your,0.019448962062597275,positive
Company_D,you,0.018481075763702393,positive
Company_D,with,0.018320100381970406,positive
Company_D,for,-0.016835389658808708,negative
Company_D,Hi,-0.01645790785551071,negative
Company_D,We're,0.015827767550945282,positive
Company_D,forward,-0.014194920659065247,negative
Company_D,been,-0.014159571379423141,negative
