,vader_compound,textblob_polarity,afinn_score,hf_roberta_score,hf_sst2_score
vader_compound,1.0,0.7293294640758593,0.594379763266684,0.3782906930330144,0.47903490533448184
textblob_polarity,0.7293294640758593,1.0,0.5390094547365183,0.1576922008132457,0.19678952551281792
afinn_score,0.594379763266684,0.5390094547365183,1.0,0.42981858714297005,0.32472122797397013
hf_roberta_score,0.3782906930330144,0.1576922008132457,0.42981858714297005,1.0,0.48351843591243104
hf_sst2_score,0.47903490533448184,0.19678952551281792,0.32472122797397013,0.48351843591243104,1.0
